sexo;faixaetaria;comocomproucontratou;regiao
F;entre 41 a 50 anos;Domicílio;SE
M;entre 31 a 40 anos;Loja física;SE
M;entre 41 a 50 anos;Telefone;SE
M;entre 31 a 40 anos;Internet;NE
M;entre 31 a 40 anos;Não comprei / contratei;SE
M;entre 31 a 40 anos;Internet;SE
M;entre 21 a 30 anos;Telefone;SE
M;entre 21 a 30 anos;Não comprei / contratei;SE
M;entre 21 a 30 anos;Não comprei / contratei;SE
M;entre 51 a 60 anos;Telefone;SE
F;entre 31 a 40 anos;Internet;SE
M;entre 21 a 30 anos;Telefone;SE
M;entre 21 a 30 anos;Telefone;SE
M;entre 31 a 40 anos;Telefone;SE
M;entre 41 a 50 anos;Não comprei / contratei;SE
M;entre 41 a 50 anos;Telefone;SE
M;entre 41 a 50 anos;Não comprei / contratei;SE
M;entre 31 a 40 anos;Internet;SE
M;entre 31 a 40 anos;Não comprei / contratei;SE
M;entre 41 a 50 anos;Internet;SE
F;entre 31 a 40 anos;Não comprei / contratei;SE
M;entre 31 a 40 anos;Telefone;NE
F;entre 41 a 50 anos;Telefone;CO
F;entre 41 a 50 anos;Telefone;CO
F;entre 31 a 40 anos;Telefone;SE
M;entre 31 a 40 anos;Internet;S 
M;entre 31 a 40 anos;Internet;S 
M;entre 31 a 40 anos;Internet;S 
M;entre 31 a 40 anos;Não comprei / contratei;SE
M;entre 31 a 40 anos;Telefone;NE
M;entre 31 a 40 anos;Telefone;SE
M;entre 21 a 30 anos;Loja física;SE
M;entre 31 a 40 anos;Loja física;SE
F;entre 21 a 30 anos;Loja física;SE
F;até 20 anos;Loja física;SE
M;até 20 anos;Internet;SE
M;até 20 anos;Telefone;SE
M;entre 21 a 30 anos;Não comprei / contratei;CO
M;entre 31 a 40 anos;Loja física;CO
F;entre 31 a 40 anos;Telefone;CO
F;entre 31 a 40 anos;Telefone;CO
M;entre 31 a 40 anos;Telefone;SE
M;entre 41 a 50 anos;Internet;CO
M;entre 21 a 30 anos;Loja física;SE
M;entre 41 a 50 anos;Domicílio;SE
M;entre 31 a 40 anos;Loja física;SE
M;entre 21 a 30 anos;Internet;SE
F;entre 51 a 60 anos;Internet;SE
M;entre 31 a 40 anos;Ganhei de presente;SE
M;entre 31 a 40 anos;Loja física;SE
M;entre 31 a 40 anos;Loja física;SE
M;entre 31 a 40 anos;Internet;SE
M;entre 31 a 40 anos;Internet;SE
M;entre 31 a 40 anos;Não comprei / contratei;SE
M;entre 31 a 40 anos;Internet;SE
F;entre 41 a 50 anos;Loja física;CO
M;entre 51 a 60 anos;Telefone;SE
M;entre 31 a 40 anos;Telefone;NE
M;entre 31 a 40 anos;Internet;NE
M;entre 41 a 50 anos;Loja física;SE
M;entre 31 a 40 anos;Stand, feiras e eventos;NE
M;entre 41 a 50 anos;Não comprei / contratei;SE
M;entre 31 a 40 anos;Não comprei / contratei;NE
M;entre 31 a 40 anos;Domicílio;NE
M;entre 31 a 40 anos;Stand, feiras e eventos;NE
M;entre 31 a 40 anos;Domicílio;NE
M;entre 31 a 40 anos;Catálogo;NE
M;entre 31 a 40 anos;Loja física;NE
M;entre 41 a 50 anos;Stand, feiras e eventos;SE
M;entre 21 a 30 anos;Internet;S 
M;entre 31 a 40 anos;Telefone;SE
M;entre 31 a 40 anos;Não comprei / contratei;SE
M;entre 31 a 40 anos;Telefone;SE
M;entre 41 a 50 anos;Loja física;SE
M;entre 41 a 50 anos;Telefone;SE
M;entre 31 a 40 anos;Telefone;SE
M;entre 41 a 50 anos;Telefone;NE
F;entre 21 a 30 anos;Telefone;SE
F;entre 21 a 30 anos;Telefone;SE
F;entre 21 a 30 anos;Telefone;SE
M;entre 41 a 50 anos;Loja física;SE
M;entre 21 a 30 anos;Internet;NE
M;entre 51 a 60 anos;Domicílio;SE
M;entre 51 a 60 anos;Domicílio;SE
M;entre 21 a 30 anos;Internet;NE
