comocomproucontratou;problema
Loja física;Dificuldade de contato / demora no atendimento
Internet;Alteração / rescisão de contrato sem solicitação / aviso prévio
Telefone;SAC - Dificuldadede de contato / acesso
Telefone;Negativação indevida
Loja física;Negativação indevida
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Loja física;Cobrança de tarifas, taxas, valores não previstos / não informados
Ganhei de presente;Produto danificado / não funciona - Dificuldade em trocar ou consertar no prazo de garantia
Não comprei / contratei;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Produto entregue incompleto / diferente do  pedido
Telefone;Cobrança após cancelamento do serviço
Telefone;SAC - Demanda não resolvida / não respondida
Loja física;Recusa em cancelar compra/serviço no prazo de arrependimento (compra fora do estabelecimento)
Telefone;Alteração de plano/contrato sem solicitação ou aviso prévio
Internet;Não entrega / demora na entrega do produto
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Dificuldade na Renegociação / parcelamento de dívida
Telefone;Dificuldade para obter boleto de quitação ou informações acerca de cálculos, pagamentos, saldo devedor
Telefone;Cobrança após cancelamento do serviço
Não comprei / contratei;SAC - Dificuldade para cancelar o serviço
Internet;Não entrega / demora na entrega do produto
Telefone;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento
Loja física;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Loja física;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Loja física;Dificuldade de contato / demora no atendimento
Não comprei / contratei;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Não comprei / contratei;Dificuldade para alterar/ ativar serviços
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;SAC - Demanda não resolvida / não respondida
Telefone;Dificuldades com Programas de Fidelidade / Pontuação (resgate, alteração, transferência etc)
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Não comprei / contratei;Cálculo de juros, saldo devedor (contestação, solicitação de histórico, dúvidas)
Não comprei / contratei;Negativa de cobertura / Demora injustificada ou Divergência na indenização
Loja física;Negativação indevida referente à pagamento já efetuado
Loja física;Dificuldade de contato / demora no atendimento
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;Cobrança em duplicidade / Cobrança referente a pagamento já efetuado
Loja física;Dificuldade na Renegociação / parcelamento de dívida
Internet;Não entrega / demora na entrega do produto
Loja física;Negativação indevida (não cumprimento de acordo de parcelamento)
Internet;Dificuldade para alterar/ ativar serviços
Internet;SAC - Demanda não resolvida / não respondida
Telefone;Cobrança de tarifas, taxas, valores não previstos / não informados
Loja física;SAC - Demanda não resolvida / não respondida
Internet;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;SAC - Demanda não resolvida / não respondida
Não comprei / contratei;Dificuldade para rescindir o contrato / cancelar o serviço
Loja física;Suspensão ou desligamento indevido do serviço
Internet;SAC - Descortesia / despreparo / demora
Loja física;Cobrança submetendo a ofensa, constrangimento ou ameaça
Internet;Não entrega / demora na entrega do produto
Loja física;SAC - Descortesia / despreparo / demora
Internet;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Telefone;Informações incompletas / inadequadas sobre o serviço, plano, promoção etc
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Telefone;Cobrança de valor para a devolução do produto
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento)
Não comprei / contratei;SAC - Demanda não resolvida / não respondida
Loja física;SAC - Dificuldadede de contato / acesso
Telefone;Portabilidade não efetivada
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Telefone;Serviço indisponível para a região ou sem previsão
Telefone;Cobrança após cancelamento do serviço
Internet;Não entrega / demora na entrega do produto
Domicílio;Cobrança após cancelamento do serviço
Telefone;Má qualidade no atendimento (descortesia / despreparo/ constrangimento)
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Catálogo;Cobrança após cancelamento do serviço
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Internet;Não envio / atraso do boleto ou fatura / dificuldade com o pagamento
Internet;Não entrega / demora na entrega do produto
Telefone;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Não comprei / contratei;Cobrança após cancelamento do serviço
Telefone;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Loja física;Cobrança de tarifas, taxas, valores não previstos / não informados
Telefone;Cobrança de tarifas, taxas, valores não previstos / não informados
Telefone;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Loja física;Não entrega de cartão
Telefone;Má qualidade no atendimento presencial ou outros canais (mau atendimento/ constrangimento)
Telefone;Dados pessoais ou financeiros consultados, coletados, publicados ou repassados sem autorização
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Telefone;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Loja física;SAC - Demanda não resolvida / não respondida
Loja física;Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo
Loja física;Não entrega / demora na entrega do produto
Internet;Atraso de vôo
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Não comprei / contratei;Negativação indevida referente à pagamento já efetuado
Internet;Produto entregue incompleto / diferente do  pedido
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Telefone;Suspensão ou desligamento indevido do serviço
Domicílio;Cobrança após cancelamento do serviço
Loja física;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Telefone;SAC - Dificuldadede de contato / acesso
Internet;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa
Loja física;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Loja física;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Internet;Dificuldade para cancelar o serviço (Cobrança de multa abusiva, recusa etc)
Loja física;Não entrega do contrato ou documentação relacionada ao serviço
Loja física;Dificuldade para alterar/ ativar serviços
Telefone;Funcionamento inadequado do serviço (má qualidade do sinal, instabilidade, queda)
Internet;Bloqueio / Suspensão indevida do serviço
Não comprei / contratei;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Loja física;Cobrança de tarifas, taxas, valores não previstos / não informados
Telefone;Não entrega de cartão
Internet;Dificuldade na devolução de valores pagos / reembolso / retenção de valores
Loja física;Produto danificado / não funciona - Falta de assistência técnica / falta de informações sobre assistência técnica
Loja física;Dificuldade de contato ou acesso aos serviços - caixa eletrônico, agência, internet banking
Internet;Demora na montagem / montagem incorreta / incompleta
Loja física;Cobrança por serviço/produto não contratado / não reconhecido / não solicitado
Telefone;SAC - Dificuldade para cancelar o serviço
Não comprei / contratei;Dados pessoais ou financeiros consultados, coletados, publicados ou repassados sem autorização
